WinningNumber1,WinningNumber2,WinningNumber3,WinningNumber4,WinningNumber5,WinningNumber6,DrawDate
17,18,19,20,8,33,2022-03-19
22,5,20,1,25,7,2022-03-17
30,18,40,32,6,14,2022-03-15
25,24,18,3,41,19,2022-03-12
10,18,35,28,22,13,2022-03-10
36,32,42,15,28,12,2022-03-08
18,34,33,39,11,36,2022-03-05
10,28,31,30,33,40,2022-03-03
42,18,16,14,24,11,2022-03-01
2,16,28,10,37,15,2022-02-26
12,29,15,3,6,20,2022-02-24
13,3,6,30,21,19,2022-02-22
37,29,31,30,21,17,2022-02-19
2,1,39,14,38,24,2022-02-17
23,5,37,4,26,41,2022-02-15
7,24,25,12,15,32,2022-02-12
38,26,13,37,15,39,2022-02-10
8,28,18,23,19,39,2022-02-08
30,20,15,9,23,22,2022-02-05
32,17,18,24,30,33,2022-02-03
20,15,4,34,6,18,2022-02-01
33,27,19,35,42,14,2022-01-29
3,27,36,28,12,8,2022-01-27
24,26,6,39,20,35,2022-01-25
8,9,15,36,35,34,2022-01-22
15,5,17,7,20,33,2022-01-20
23,16,30,36,19,38,2022-01-18
18,28,16,32,29,10,2022-01-15
18,15,33,27,7,14,2022-01-13
35,28,25,36,31,3,2022-01-11
32,41,15,25,18,22,2022-01-08
23,1,9,24,12,7,2022-01-06
12,16,8,11,1,18,2022-01-04
